K_R,K_w,rms_att_E,rms_att_Q,rms_tau_E,rms_tau_Q,J
80.0,2.0,0.013209984978890985,0.013209988179683475,0.0874031999886187,0.08740321103245177,0.0030690659689319184
40.0,1.0,0.013446521827848845,0.013446525121781714,0.08730006431644849,0.08730007537283382,0.0030906570383072204
80.0,1.0,0.006870584843633706,0.006870586563636406,0.12359486628027695,0.1235948818983151,0.0031589577721521265
80.0,4.0,0.02567374508645538,0.025673750860801616,0.06181355421268254,0.061813562014015284,0.0038036517339760656
40.0,2.0,0.02581935037330143,0.02581935623250918,0.061727876279018296,0.06172788409258184,0.003816498793214283
20.0,1.0,0.026176390689697574,0.026176396726848013,0.061691543580105014,0.06169155139917518,0.003851476357770521
80.0,8.0,0.04888405794395322,0.048884067156406155,0.04367366182910076,0.04367366711636794,0.005761888756925589
40.0,4.0,0.04901077044843334,0.04901077974362377,0.04358949840112804,0.04358950371845454,0.005772876825989111
20.0,2.0,0.04928190701552289,0.049281916479048254,0.04357244003084457,0.043572445389612205,0.005799649492458491
10.0,1.0,0.0498937815295899,0.049893791343428695,0.04358142536600572,0.04358143080387207,0.0058610170191885054
40.0,8.0,0.08864008605860439,0.08864009711549223,0.03003033036654416,0.030030332798965147,0.00946462684724776
20.0,4.0,0.08886502910627463,0.08886504026046389,0.030018254210171368,0.030018256655856276,0.00948687973118647
10.0,2.0,0.08933405608706935,0.0893340674366179,0.030049632214302003,0.03004963468260613,0.009534410194701994
5.0,1.0,0.09034848732648608,0.09034849906995607,0.03013434869192776,0.03013435120756356,0.00963754806228701
20.0,8.0,0.1486557305725146,0.14865573941481172,0.018982704831538244,0.018982705355766714,0.015245236443536484
10.0,4.0,0.14896500738393478,0.14896501628246964,0.018978152028346545,0.018978152549532654,0.015276073127633866
5.0,2.0,0.14959815541528493,0.1495981644240887,0.018990172257806966,0.018990172771946326,0.015339628451069974
10.0,8.0,0.22426410403831049,0.22426410847784567,0.01076745149693356,0.010767451547139966,0.02264176409578373
5.0,4.0,0.22462226309560981,0.2246222675509605,0.01075572736243977,0.010755727411317946,0.022677345535416792
5.0,8.0,0.2957813099175334,0.29578131126520035,0.0057335138235821825,0.0057335138268956864,0.029692802683308445
